commentId,commentText,publishedAt
UgxCYkRYtxP5d9NfQy14AaABAg,I don’t know what they are thinking while making such accusations i think they had zero idea about indus water treaty its funny they are actually claiming it even they have the 80% access waters .& if war occurs as they are on the verge of economic death india would happily acquire all their territories.,2024-02-29T13:21:17Z
Ugw6mTxCcJWEvWkmA_d4AaABAg,"Although I'm not from Pakistan but this anchor and channel seem to be extremely biased always criticize and denounce others but praise and appreciate themselves,  whereas no one is innocent, non India.",2024-02-29T13:16:05Z
UgwB8AVtqMW28P5ltc54AaABAg,Nehru's congress was a pro Pakistani/Chinese party that signed this lame treaty!!!,2024-02-29T13:13:40Z
Ugy6weGE300XS4tlOjR4AaABAg,"India is only fully utilising its share of natural resource, please do not use the word terrorism, it just resource utilisation and managnent",2024-02-29T13:01:47Z
UgzGK5Dw3ftrXw5kuVh4AaABAg,India must did this a  long ago. No need to give Even surplus water to terror pak..,2024-02-29T12:59:02Z
Ugz5jk_0TxFBMOezHIZ4AaABAg,"Imagine, if Pakistan did this,what will be our reaction?",2024-02-29T12:40:41Z
UgzVxJx7NAYUXLPkL6R4AaABAg,"Sure india is terrorist state .
That's why india makes terrorist action always",2024-02-29T12:31:09Z
UgzFrAW-S0dCaQ5xvEJ4AaABAg,Pakistan had never Bortherd to Built a DAM all these Years and Indus River was going Waste now aftre India now Built Dam Pakistan is Worried .,2024-02-29T12:05:24Z
UgyKDWwnetoS7IZ3vIh4AaABAg,"Keep crying 
Let's Stop another river",2024-02-29T11:58:14Z
UgxNNVXR9XebaI5O8FB4AaABAg,"Dogs without teeth can bark they can also growl and they can whine 


But they cannot bite",2024-02-29T11:56:58Z
UgwNjg9XdUht0xPuDh54AaABAg,Same as how india accuses china for same reason 🤣🤣🤣,2024-02-29T11:30:13Z
UgwXzCtRXZ76RFmCcMt4AaABAg,"Pakistan should be Thankful to Bharat, we have given their newly elected Govt a good reason to go Begging for Relief.",2024-02-29T11:07:49Z
UgyeRWB2j7TRtFWEk-14AaABAg,Dirty BJP devil 👿💣,2024-02-29T10:38:58Z
